BJD - 2454833, Corrected Flux
3079.859583884, 0.994698583,
3079.880016222, 0.994573506,
3079.900448559, 0.995374767,
3079.920880996, 0.994674688,
3079.941313233, 0.994865633,
3079.961745569, 0.994770368,
3079.982178004, 0.994724599,
3080.002610239, 0.994942646,
3080.023042574, 0.994518059,
3080.043475008, 0.994908787,
3080.063907241, 0.994865416,
3080.084339574, 0.994834462,
3080.104772007, 0.994874612,
3080.125204239, 0.994832705,
3080.145636570, 0.994690299,
3080.166069001, 0.994685350,
3080.186501232, 0.994692445,
3080.206933562, 0.994645216,
3080.227365991, 0.994772951,
3080.247798321, 0.994567439,
3080.288662977, 0.994465422,
3080.309095304, 0.994827422,
3080.329527631, 0.994592408,
3080.349959958, 0.994751681,
3080.370392184, 0.994805062,
3080.390824610, 0.994775490,
3080.411256935, 0.994570367,
3080.431689159, 0.994777149,
3080.452121583, 0.994831557,
3080.472553906, 0.994838754,
3080.492986130, 0.994783512,
3080.533850874, 0.994876282,
3080.554283096, 0.994774300,
3080.574715517, 0.994873400,
3080.595147837, 0.994683253,
3080.615580057, 0.994812473,
3080.636012477, 0.994616960,
3080.656444796, 0.994557935,
3080.676877114, 0.994544472,
3080.697309432, 0.994722750,
3080.717741750, 0.994773696,
3080.738174067, 0.996539211,
3080.779038700, 0.994784692,
3080.799471015, 0.994759335,
3080.819903430, 0.994894593,
3080.840335645, 0.994758929,
3080.860767959, 0.994852660,
3080.881200372, 0.994710997,
3080.901632586, 0.994954754,
3080.922064898, 0.994767164,
3080.942497310, 0.994897968,
3080.962929522, 0.994939355,
3080.983361833, 0.995020758,
3081.003794144, 0.994729687,
3081.024226454, 0.996404599,
3081.044658863, 0.994884537,
3081.065091072, 0.994705484,
3081.085523381, 0.994943443,
3081.105955789, 0.995108038,
3081.126388097, 0.994734273,
3081.146820304, 0.994707867,
3081.167252711, 0.995255087,
3081.187685017, 0.994663221,
3081.208117223, 0.995189803,
3081.228549628, 0.994747255,
3081.248981933, 0.994995159,
3081.269414137, 0.995101292,
3081.289846540, 0.994844072,
3081.310278843, 0.994825983,
3081.330711046, 0.994807836,
3081.351143449, 0.994760403,
3081.371575750, 0.994959487,
3081.392007952, 0.995205417,
3081.412440352, 0.994624737,
3081.432872652, 0.994701435,
3081.453304852, 0.995031660,
3081.473737252, 0.994831755,
3081.494169550, 0.994904046,
3081.514601849, 0.994692715,
3081.535034147, 0.994920784,
3081.555466444, 0.994875850,
3081.575898741, 0.995165693,
3081.596331137, 0.994754178,
3081.616763333, 0.994978115,
3081.637195628, 0.994997867,
3081.657628023, 0.995036613,
3081.678060217, 0.994978857,
3081.698492512, 0.995094817,
3081.718924905, 0.994925629,
3081.739357098, 0.994993717,
3081.759789490, 0.994716522,
3081.780221682, 0.995087285,
3081.800653974, 0.994963534,
3081.821086365, 0.994947468,
3081.841518555, 0.995186222,
3081.861950845, 0.994922495,
3081.882383235, 0.994914041,
3081.902815424, 0.994946261,
3081.923247712, 0.995022598,
3081.943680100, 0.994844691,
3081.964112388, 0.994996177,
3082.004976962, 0.995229604,
3082.025409248, 0.994693960,
3082.045841433, 0.995099014,
3082.066273818, 0.994834104,
3082.086706103, 0.994921370,
3082.107138287, 0.995132961,
3082.127570671, 0.994925773,
3082.148002954, 0.995004287,
3082.168435137, 0.994961722,
3082.188867519, 0.995347709,
3082.209299801, 0.994868997,
3082.229731982, 0.995380903,
3082.250164363, 0.994979850,
3082.270596643, 0.994761393,
3082.291028823, 0.994931737,
3082.311461202, 0.994997030,
3082.331893481, 0.995215612,
3082.352325760, 0.994866328,
3082.372758037, 0.994494023,
3082.393190315, 0.994696400,
3082.413622592, 0.994578037,
3082.434054968, 0.994327380,
3082.454487144, 0.994830011,
3082.495351694, 0.994649219,
3082.515783969, 0.994904688,
3082.536216343, 0.994977737,
3082.556648616, 0.995131491,
3082.577080789, 0.994889840,
3082.597513162, 0.994807209,
3082.617945334, 0.995144294,
3082.638377606, 0.995056613,
3082.658809977, 0.994961541,
3082.679242147, 0.995052443,
3082.699674418, 0.995192649,
3082.720106787, 0.994971471,
3082.740538957, 0.994661239,
3082.760971225, 0.994832507,
3082.781403593, 0.995006314,
3082.801835861, 0.995088294,
3082.822268028, 0.994908671,
3082.842700395, 0.995050731,
3082.863132662, 0.995162722,
3082.883564828, 0.995090353,
3082.903997193, 0.995169418,
3082.924429458, 0.994868153,
3082.944861622, 0.995081201,
3082.965293986, 0.995228538,
3082.985726249, 0.995013277,
3083.067455199, 0.994896470,
3083.087887560, 0.994945343,
3083.108319820, 0.994900557,
3083.128751980, 0.995263274,
3083.149184340, 0.994968713,
3083.169616599, 0.995073379,
3083.190048958, 0.995126533,
3083.210481116, 0.994908622,
3083.230913374, 0.994864831,
3083.251345631, 0.994984986,
3083.271777988, 0.995291571,
3083.292210144, 0.995018456,
3083.312642400, 0.995137923,
3083.333074655, 0.994920779,
3083.353506910, 0.995023395,
3083.373939265, 0.995126701,
3083.394371419, 0.995199840,
3083.414803672, 0.995025824,
3083.435236025, 0.994721030,
3083.455668178, 0.995235388,
3083.476100429, 0.995043796,
3083.496532781, 0.994984786,
3083.516964932, 0.994973120,
3083.537397183, 0.994850049,
3083.557829533, 0.995083285,
3083.578261682, 0.995258902,
3083.598693932, 0.995187016,
3083.619126280, 0.995157549,
3083.639558529, 0.995189676,
3083.659990677, 0.994976665,
3083.680423024, 0.994927963,
3083.700855271, 0.995315278,
3083.721287417, 0.995218952,
3083.741719763, 0.995115204,
3083.762152008, 0.995272995,
3083.782584153, 0.995083254,
3083.803016498, 0.995289918,
3083.823448742, 0.995232970,
3083.843881085, 0.995124390,
3083.864313228, 0.995167406,
3083.884745471, 0.995203610,
3083.905177813, 0.995200177,
3083.925609955, 0.994972766,
3083.946042196, 0.995543759,
3083.966474537, 0.995235573,
3083.986906677, 0.995209078,
3084.007338917, 0.995198948,
3084.027771155, 0.995065551,
3084.048203394, 0.995132138,
3084.068635633, 0.995170125,
3084.089067871, 0.995096152,
3084.109500108, 0.995121985,
3084.129932345, 0.994901734,
3084.150364582, 0.995292613,
3084.170796817, 0.995500843,
3084.211661388, 0.995230850,
3084.232093523, 0.995318648,
3084.252525757, 0.995299952,
3084.272958091, 0.995366682,
3084.293390224, 0.995194689,
3084.313822456, 0.995234968,
3084.334254789, 0.995157507,
3084.354686921, 0.995252314,
3084.375119152, 0.995153338,
3084.395551483, 0.995180410,
3084.415983613, 0.995482630,
3084.456848173, 0.995244145,
3084.477280402, 0.995328669,
3084.497712530, 0.994850237,
3084.518144858, 0.995166732,
3084.538577086, 0.995155986,
3084.559009313, 0.995252778,
3084.579441540, 0.995097442,
3084.599873766, 0.995243007,
3084.620306091, 0.995141162,
3084.640738217, 0.995397424,
3084.661170442, 0.995348559,
3084.681602766, 0.995026636,
3084.702034890, 0.995452484,
3084.722467113, 0.995200454,
3084.742899336, 0.995063370,
3084.763331559, 0.995106769,
3084.783763781, 0.995319057,
3084.804196002, 0.995223765,
3084.824628224, 0.995197864,
3084.845060444, 0.995553770,
3084.865492664, 0.995468980,
3084.885924884, 0.995291792,
3084.906357103, 0.995231157,
3084.926789322, 0.995008308,
3084.947221540, 0.995547171,
3084.967653758, 0.995224150,
3084.988085976, 0.995254606,
3085.008518193, 0.995238703,
3085.028950409, 0.995308195,
3085.049382725, 0.995290879,
3085.069814840, 0.995471928,
3085.090247056, 0.995431855,
3085.110679370, 0.995379216,
3085.131111484, 0.995281064,
3085.151543698, 0.995423766,
3085.171976011, 0.995306301,
3085.192408124, 0.995151921,
3085.212840437, 0.995513601,
3085.233272648, 0.995350830,
3085.253704760, 0.995294834,
3085.274137071, 0.995148774,
3085.294569281, 0.995575466,
3085.315001492, 0.995046123,
3085.335433701, 0.995417925,
3085.355865910, 0.995385058,
3085.376298119, 0.995325691,
